created_at,entry_id,field1,latitude,longitude,elevation,status
2024-10-24T15:49:30+00:00,1,-127.00,,,,
2024-10-24T15:50:01+00:00,2,29.69,,,,
2024-10-24T15:50:25+00:00,3,29.69,,,,
2024-10-24T15:50:50+00:00,4,29.81,,,,
2024-10-24T15:51:15+00:00,5,29.87,,,,
2024-10-24T15:51:32+00:00,6,29.81,,,,
2024-10-24T15:52:04+00:00,7,29.94,,,,
2024-10-24T15:52:25+00:00,8,30.12,,,,
2024-10-24T15:52:47+00:00,9,30.19,,,,
2024-10-24T15:53:15+00:00,10,30.31,,,,
2024-10-24T15:53:43+00:00,11,30.37,,,,
2024-10-24T15:54:01+00:00,12,30.37,,,,
2024-10-24T15:54:18+00:00,13,30.31,,,,
2024-10-24T15:54:36+00:00,14,30.37,,,,
2024-10-24T15:55:07+00:00,15,30.31,,,,
2024-10-24T15:55:25+00:00,16,30.25,,,,
2024-10-24T15:55:49+00:00,17,30.25,,,,
2024-10-25T05:38:13+00:00,18,28.25,,,,
2024-10-25T05:38:31+00:00,19,28.19,,,,
2024-10-25T05:38:48+00:00,20,28.12,,,,
2024-10-25T05:39:05+00:00,21,28.12,,,,
2024-10-25T05:39:22+00:00,22,28.06,,,,
2024-10-25T05:39:43+00:00,23,28.00,,,,
2024-10-25T05:40:01+00:00,24,28.00,,,,
2024-10-25T05:40:25+00:00,25,27.94,,,,
2024-10-25T05:40:53+00:00,26,27.94,,,,
2024-10-25T05:41:10+00:00,27,27.94,,,,
2024-10-25T05:41:30+00:00,28,27.94,,,,
2024-10-25T05:41:47+00:00,29,27.87,,,,
2024-10-25T05:42:08+00:00,30,27.87,,,,
2024-10-25T05:42:25+00:00,31,27.87,,,,
2024-10-25T05:42:43+00:00,32,27.87,,,,
2024-10-25T05:43:00+00:00,33,27.81,,,,
2024-10-25T05:43:18+00:00,34,27.94,,,,
2024-10-25T05:43:53+00:00,35,27.81,,,,
2024-10-25T05:44:10+00:00,36,27.87,,,,
2024-10-25T05:44:27+00:00,37,27.87,,,,
2024-10-25T05:44:49+00:00,38,27.37,,,,
2024-10-25T05:45:06+00:00,39,27.25,,,,
2024-10-25T05:45:26+00:00,40,27.19,,,,
2024-10-25T05:45:44+00:00,41,27.13,,,,
2024-10-25T05:46:05+00:00,42,27.06,,,,
2024-10-25T05:46:25+00:00,43,26.94,,,,
2024-10-25T05:46:48+00:00,44,26.87,,,,
2024-10-25T05:47:05+00:00,45,26.81,,,,
2024-10-25T05:47:22+00:00,46,26.75,,,,
2024-10-25T05:47:39+00:00,47,26.75,,,,
2024-10-25T05:48:00+00:00,48,26.69,,,,
2024-10-25T05:48:25+00:00,49,26.69,,,,
2024-10-25T05:48:42+00:00,50,26.62,,,,
2024-10-25T05:49:06+00:00,51,26.62,,,,
2024-10-25T05:49:24+00:00,52,26.56,,,,
2024-10-25T05:49:45+00:00,53,26.56,,,,
2024-10-25T05:50:02+00:00,54,26.50,,,,
2024-10-25T05:50:20+00:00,55,26.44,,,,
2024-10-25T05:50:37+00:00,56,26.44,,,,
2024-10-25T05:51:01+00:00,57,26.37,,,,
2024-10-25T05:51:22+00:00,58,26.37,,,,
2024-10-25T05:51:39+00:00,59,26.37,,,,
2024-10-25T05:51:57+00:00,60,26.31,,,,
2024-10-25T06:53:50+00:00,61,28.75,,,,
2024-10-25T06:54:26+00:00,62,28.69,,,,
2024-10-25T06:54:48+00:00,63,28.69,,,,
2024-10-25T06:55:09+00:00,64,28.75,,,,
2024-10-25T06:56:19+00:00,65,28.75,,,,
2024-10-25T06:56:36+00:00,66,28.75,,,,
2024-10-25T06:57:19+00:00,67,28.75,,,,
2024-10-25T06:57:47+00:00,68,28.56,,,,
2024-10-25T06:58:20+00:00,69,28.31,,,,
2024-10-25T06:58:46+00:00,70,28.00,,,,
